Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",,,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Transfer,,Be sample to be sent for replication.,"May. 20, 2019",,792.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",BE1PD25R25 : BE1PD25R25-18KW-SBAU5.5RD3-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,792.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Mold,,,,,,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
"Ready to Invoice,Shipped",376687,"Jul. 10, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jun. 05, 2019",,50.00,No,"Jul. 10, 2019","May. 16, 2019 15:09:23",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138775/
None,376727,"Jul. 11, 2019",,,,,,,No,,"May. 16, 2019 17:34:16",,,,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Transfer,,BE Sample being sent for replication,"May. 20, 2019",,1000.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",BE164 : BE164-18KW-N-S6,"18K White Gold Luxe Ballad Diamond Ring, Size 6",Initial sample for approval  Please set with 7.0mm RD CZ,,,1000.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Mold,,,,,,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376727,"Jul. 11, 2019",Transfer,,7.0mm RD CZ arriving from SF,"Jun. 05, 2019",,50.00,No,,"May. 16, 2019 17:34:16",,,1,No,https://partner.brilliantearth.com/production/record-138780/
None,376728,"Jul. 11, 2019",,,,,,,No,,"May. 16, 2019 17:35:21",,,,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 20, 2019",,.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",Transfer,,BE Sample being sent for replication,"May. 20, 2019",,792.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",BE264 : BE264-18KW-S6,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 6",Initial sample for approval,,,792.00,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
None,376728,"Jul. 11, 2019",Mold,,,,,,No,,"May. 16, 2019 17:35:21",,,1,No,https://partner.brilliantearth.com/production/record-138781/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",,,,,,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",Transfer,,BE sample to be sent for replication.,"May. 29, 2019",,792.00,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",BE2M254P : BE2M254P-18KW-S6,"18K White Gold Petite Twisted Vine Diamond Ring, Size 6",Initial sample for approval.,,,792.00,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380077,"Jul. 24, 2019",Mold,,,,,,No,"Jul. 23, 2019","May. 28, 2019 13:51:42",,,1,No,https://partner.brilliantearth.com/production/record-138778/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",,,,,,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",Transfer,,Be sample to be sent for replication.,"May. 29, 2019",,760.00,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",BE2PD25R25 : BE2PD25R25-18KW-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",Initial sample for approval,,,760.00,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380140,"Jul. 10, 2019",Mold,,,,,,No,"Jul. 10, 2019","May. 28, 2019 15:17:29",,1Z0X577V1340939021,1,No,https://partner.brilliantearth.com/production/record-138776/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",,,,,,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",Transfer,,Be sample to be sent for replication.,"May. 29, 2019",,792.00,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",BE2D1812 : BE2D1812-18KW-S6,"18K White Gold Flair Diamond Ring, Size 6",Initial sample for approval,,,792.00,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
"Ready to Invoice,Shipped",380155,"Jun. 26, 2019",Mold,,,,,,No,"Jun. 26, 2019","May. 28, 2019 15:49:55",,1Z0X577V0142225141,1,No,https://partner.brilliantearth.com/production/record-138777/
None,380182,"Jul. 02, 2019",,,,,,,No,,"May. 28, 2019 16:21:15",,,,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,"May. 29, 2019",,,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",Transfer,,BE sample to be sent for replication.,"May. 29, 2019",,1000.00,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",BE266E : BE266E-18KW-S6,"18K White Gold Eternity Whisper Diamond Ring, Size 6",Initial sample for approval,,,1000.00,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,380182,"Jul. 02, 2019",Mold,,,,,,No,,"May. 28, 2019 16:21:15",,,1,No,https://partner.brilliantearth.com/production/record-138779/
None,388632,"Nov. 08, 2019",,,,,,,No,,"Jun. 21, 2019 13:13:39",,,,No,https://partner.brilliantearth.com/production/record-159645/
None,388632,"Nov. 08, 2019",PD CAD/Wax Model,PD CAD/Wax Models,,,,.00,No,,"Jun. 21, 2019 13:13:39",,,1,No,https://partner.brilliantearth.com/production/record-159645/
None,388632,"Nov. 08, 2019",Transfer,,Be sample being sent for replication of bright cut french pave style,"Jul. 15, 2019",,1640.00,No,,"Jun. 21, 2019 13:13:39",,,1,No,https://partner.brilliantearth.com/production/record-159645/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",,,,,,,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,,No,https://partner.brilliantearth.com/production/record-142079/
"Ready to Invoice,Shipped",388686,"Jul. 26, 2019",VRO CAD/Wax Model,VRO CAD/Wax Models,,,,,No,"Jul. 26, 2019","Jun. 21, 2019 15:34:53",,775846715860,1,No,https://partner.brilliantearth.com/production/record-142079/
